# alias PD xsec nmc sumw
WZTo3LNu_mllmin4p0_powheg WZTo3LNu_mllmin4p0_TuneCP5_13TeV-powheg-pythia8 4.66 1080000 1068268.0 
WZZ WZZ_TuneCP5_13TeV-amcatnlo-pythia8 0.05565 5394000 4897306.0 
WZ_pythia WZ_TuneCP5_13TeV-pythia8 51.11 7907000 7907000.0 
WpWpJJ_EWK WpWpJJ_EWK 0.02695 194000 194000.0 
WpWpJJ_QCD WpWpJJ_QCD 0.02612 196000 196000.0 
ZGToLLG_01J ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8 51.45 27805647 17427311.0 
ZZTo2L2Nu_powheg ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8 0.5644 17669000 17631454.0 
ZZTo4L_m_1toInf_powheg ZZTo4L_M-1toInf_TuneCP5_13TeV_powheg_pythia8 13.81 19455845 19002157.0 
ZZZ ZZZ_TuneCP5_13TeV-amcatnlo-pythia8 0.01398 5390000 4804396.0 
ZZ_pythia ZZ_TuneCP5_13TeV-pythia8 16.91 1297000 1297000.0 
tHq	THQ_ctcvcp_4f_Hincl_TuneCP5_13TeV_madgraph_pythia8	0.7464	11715985	11715985
tZq tZq_ll_4f_ckm_NLO_TuneCP5_13TeV-amcatnlo-pythia8 0.0758 3967000 1073148.0 
ttHToNonbb	ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8	0.2151	1977996	1936276
ttWToLNu TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8 0.2043 2873397 1555729.0 
ttWToQQ TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8 0.4062 308442 168842.0 
ttZToLLNuNu TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8 0.2529 5796000 2858530.0 
ttZToQQ TTZToQQ_TuneCP5_13TeV-amcatnlo-pythia8 0.5297 6388000 3173716.0 
ttZToQQ_ll TTZToQQ_Dilept_TuneCP5_13TeV-amcatnlo-pythia8 0.0568 2900000 1459398.0 
