# alias PD xsec nmc sumw
WWZ WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8 0.1651 4544000 4121754.0 
WW_pythia WW_TuneCP5_13TeV-pythia8 118.7 15991000 15991000.0 
WZJJToLNu WZJJ-private 0.01780708628 200000 200000.0 
WZTo3LNu_amcatnlo WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8 5.213 10532228 6949806.0 
WZTo3LNu_mll0p1_powheg WZTo3LNu_mllmin0p1_TuneCP5_13TeV-powheg-pythia8 62.78 29033000 26868886.0 
WZTo3LNu_mllmin4p0_powheg WZTo3LNu_mllmin4p0_TuneCP5_13TeV-powheg-pythia8 4.66 904000 894592.0 
WZZ WZZ_TuneCP5_13TeV-amcatnlo-pythia8 0.05565 4600000 4175396.0 
WZ_pythia WZ_TuneCP5_13TeV-pythia8 51.11 7768000 7768000.0 
WpWpJJ_EWK WpWpJJ_EWK 0.02695 198000 198000.0 
WpWpJJ_QCD WpWpJJ_QCD 0.02612 200000 200000.0 
ZGToLLG_01J ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8 51.45 31606911 19805205.0 
ZZTo2L2Nu_powheg ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8 0.5644 15918000 15884460.0 
ZZTo4L_m_1toInf_powheg ZZTo4L_M-1toInf_TuneCP5_13TeV_powheg_pythia8 13.81 17382528 16978438.0 
ZZZ ZZZ_TuneCP5_13TeV-amcatnlo-pythia8 0.01398 4592000 4090920.0 
ZZ_pythia ZZ_TuneCP5_13TeV-pythia8 16.91 1200000 1200000.0 
tHq	THQ_ctcvcp_4f_Hincl_TuneCP5_13TeV_madgraph_pythia8	0.7464	13385989	13385989
tZq tZq_ll_4f_ckm_NLO_TuneCP5_13TeV-amcatnlo-pythia8 0.0758 4441000 1201778.0 
ttHToNonbb	ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8	0.2151	2182994	2137878
ttWToLNu TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8 0.2043 3368017 1825351.0 
ttWToQQ TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8 0.4062 308983 168951.0 
ttZToLLNuNu TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8 0.2529 6211000 3058448.0 
ttZToQQ TTZToQQ_TuneCP5_13TeV-amcatnlo-pythia8 0.5297 5797000 2879374.0 
ttZToQQ_ll TTZToQQ_Dilept_TuneCP5_13TeV-amcatnlo-pythia8 0.0568 3196000 1608550.0 
