# alias PD xsec nmc sumw
ZZTo4L_powheg ZZTo4L_TuneCP5_13TeV_powheg_pythia8 1.256 99284000 98279504.0 
ZZZ ZZZ_TuneCP5_13TeV-amcatnlo-pythia8 0.01398 9994000 8905364.0 
ZZ_pythia ZZ_TuneCP5_13TeV-pythia8 16.91 3907000 3907000.0 
tHq	THQ_ctcvcp_4f_Hincl_TuneCP5_13TeV_madgraph_pythia8	0.7464	29801971	29801971
tZq tZq_ll_4f_ckm_NLO_TuneCP5_13TeV-amcatnlo-pythia8 0.0758 14000000 3795496.0 
ttHToNonbb	ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8	0.2151	7162993	7014065
ttWToLNu TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8 0.2043 10522657 5706163.0 
ttWToQQ TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8 0.4062 970179 530327.0 
ttZToLLNuNu TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8 0.2529 19992000 9840572.0 
ttZToQQ TTZToQQ_TuneCP5_13TeV-amcatnlo-pythia8 0.5297 19960000 9925946.0 
ttZToQQ_ll TTZToQQ_Dilept_TuneCP5_13TeV-amcatnlo-pythia8 0.0568 9908000 4995212.0 
