# alias PD xsec nmc sumw
DYJets	DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8	6077.22	196039620	131927642.0
DYJets10to50_MG	DYJetsToLL_M-10to50_TuneCP5_13TeV-madgraphMLM-pythia8	18610	98720621	98720621
DYJetsToEE_MiNNLO	DYJetsToEE_M-50_massWgtFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1976.17	339330100	284869904.0
DYJetsToMuMu_MiNNLO	DYJetsToMuMu_M-50_massWgtFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1976.17	230642547	193635589.0
DYJetsToTauTau_MiNNLO	DYJetsToTauTau_M-50_AtLeastOneEorMuDecay_massWgtFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos	1147.39	59737547	50145699.0
DYJets_MG	DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	6077.22	98433266	98433266.0
GamGamToLL GamGamToLL-private 13.4 398000 398000.0 
GluGluHToTauTau_M125 GluGluHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8 2.7757 12846000 12712946.0 
GluGluHToWWTo2L2Nu GluGluHToWWTo2L2Nu_M125_TuneCP5_13TeV_powheg2_JHUGenV714_pythia8 1.0315 9108000 9107362.0 
GluGluHToZZTo4L	GluGluHToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8	0.01212	940000	930282
GluGluToZZto2e2mu GluGluToContinToZZTo2e2mu_TuneCP5_13TeV-mcfm701-pythia8 0.003194 500000 500000.0 
GluGluToZZto4e GluGluToContinToZZTo4e_TuneCP5_13TeV-mcfm701-pythia8 0.001586 976000 976000.0 
GluGluToZZto4mu GluGluToContinToZZTo4mu_TuneCP5_13TeV-mcfm701-pythia8 0.001586 994626 994626.0 
QCD_Pt_1000to1400 QCD_Pt_1000to1400_TuneCP5_13TeV_pythia8 7.478 19925000 19925000.0 
QCD_Pt_120to170 QCD_Pt_120to170_TuneCP5_13TeV_pythia8 407700 29805000 29805000.0 
QCD_Pt_1400to1800 QCD_Pt_1400to1800_TuneCP5_13TeV_pythia8 0.6486 10985000 10985000.0 
QCD_Pt_15to30 QCD_Pt_15to30_TuneCP5_13TeV_pythia8 1245000000 19991000 19991000.0 
QCD_Pt_170to300 QCD_Pt_170to300_TuneCP5_13TeV_pythia8 103600 29994000 29994000.0 
QCD_Pt_1800to2400 QCD_Pt_1800to2400_TuneCP5_13TeV_pythia8 0.08745 5497000 5497000.0 
QCD_Pt_2400to3200 QCD_Pt_2400to3200_TuneCP5_13TeV_pythia8 0.005235 2997000 2997000.0 
QCD_Pt_300to470 QCD_Pt_300to470_TuneCP5_13TeV_pythia8 6831 57811000 57811000.0 
QCD_Pt_30to50 QCD_Pt_30to50_TuneCP5_13TeV_pythia8 106900000 19988000 19988000.0 
QCD_Pt_3200toInf QCD_Pt_3200toInf_TuneCP5_13TeV_pythia8 0.0001352 1000000 1000000.0 
QCD_Pt_470to600 QCD_Pt_470to600_TuneCP5_13TeV_pythia8 552.2 52925000 52925000.0 
QCD_Pt_50to80 QCD_Pt_50to80_TuneCP5_13TeV_pythia8 15700000 19973000 19973000.0 
QCD_Pt_600to800 QCD_Pt_600to800_TuneCP5_13TeV_pythia8 156.5 67934000 67934000.0 
QCD_Pt_800to1000 QCD_Pt_800to1000_TuneCP5_13TeV_pythia8 26.27 37802000 37802000.0 
QCD_Pt_80to120 QCD_Pt_80to120_TuneCP5_13TeV_pythia8 2339000 29967000 29967000.0 
QCD_bEnriched_HT1000to1500 QCD_bEnriched_HT1000to1500_TuneCP5_13TeV-madgraph-pythia8 47.56 1386480 1386480.0 
QCD_bEnriched_HT100to200 QCD_bEnriched_HT100to200_TuneCP5_13TeV-madgraph-pythia8 1124000 38143739 38143739.0 
QCD_bEnriched_HT1500to2000 QCD_bEnriched_HT1500to2000_TuneCP5_13TeV-madgraph-pythia8 4.017 1425531 1425531.0 
QCD_bEnriched_HT2000toInf QCD_bEnriched_HT2000toInf_TuneCP5_13TeV-madgraph-pythia8 0.6967 1342109 1342109.0 
QCD_bEnriched_HT200to300 QCD_bEnriched_HT200to300_TuneCP5_13TeV-madgraph-pythia8 80220 19222362 19222362.0 
QCD_bEnriched_HT300to500 QCD_bEnriched_HT300to500_TuneCP5_13TeV-madgraph-pythia8 16700 11563630 11563630.0 
QCD_bEnriched_HT500to700 QCD_bEnriched_HT500to700_TuneCP5_13TeV-madgraph-pythia8 1487 9536100 9536100.0 
QCD_bEnriched_HT700to1000 QCD_bEnriched_HT700to1000_TuneCP5_13TeV-madgraph-pythia8 298.8 1872812 1872812.0 
SSWW SSWW_TuneCP5_13TeV-madgraph-pythia8 0.02794 998000 998000.0 
SingleTop_sch_Lep	ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8	3.36	19365999	12607741
SingleTop_tW_antitop_NoFullyHad	ST_tW_antitop_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8	19.56	11695231	11694659.0
SingleTop_tW_top_NoFullyHad	ST_tW_top_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8	19.56	11518444	11517840.0
SingleTop_tch_antitop_Incl	ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8	80.95	95833000	90216506
SingleTop_tch_top_Incl	ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8	136.02	177463000	166293558
TG TGJets_TuneCP5_13TeV-amcatnlo-madspin-pythia8 2.967 1832800 373202.0 
TTG TTGJets_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8 3.697 4787668 1710882.0 
TTLJ_powheg TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8 365.34 495030000 491029124.0 
TTLL_powheg TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8 88.29 148524000 147324644.0 
VBFHToTauTau_M125 VBFHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8 0.237 2863000 2859256.0 
VBFHToWWTo2L2Nu VBFHToWWTo2L2Nu_M125_TuneCP5_13TeV_powheg2_JHUGenV714_pythia8 0.0896 9840000 9826946.0 
VBF_HToZZTo4L	VBF_HToZZTo4L_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8	0.001034	477000	476364
VHToNonbb VHToNonbb_M125_TuneCP5_13TeV-amcatnloFXFX_madspin_pythia8 0.952 1190626 585896.0 
WGJJToLNu WGJJToLNu-private 0.6074 190000 190000.0 
WGToLNuG WGToLNuG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8 191.3 60254632 36172308.0 
WGToLNuG_MG WGToLNuG_TuneCP5_13TeV-madgraphMLM-pythia8 412.6 9850083 9850083.0 
WJets_MG WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8 61526.7 83009353 83009353.0 
WJets_amcatnlo	WJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-pythia8	61526.7	28624212	19636462
WWG WWG_TuneCP5_13TeV-amcatnlo-pythia8 0.01398 2500000 2165674.0 
WWTo2L2Nu_DS WWTo2L2Nu_TuneCP5_DoubleScattering_13TeV-pythia8 0.1703 481600 481600.0 
WWTo2L2Nu_powheg WWTo2L2Nu_TuneCP5_13TeV-powheg-pythia8 12.178 9994000 9956710.0 
WWW WWW_4F_TuneCP5_13TeV-amcatnlo-pythia8 0.2086 9848000 8927388.0 
WWZ WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8 0.1651 9989999 9062045.0 
WW_pythia WW_TuneCP5_13TeV-pythia8 118.7 15670000 15670000.0 
WZJJToLNu WZJJ-private 0.01780708628 196000 196000.0 
WZTo3LNu_amcatnlo WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8 5.213 9583007 6325743.0 
WZTo3LNu_mll0p1_powheg WZTo3LNu_mllmin01_NNPDF31_TuneCP5_13TeV_powheg_pythia8 62.78 89202000 88239598.0 
WZTo3LNu_mllmin4p0_powheg WZTo3LNu_mllmin4p0_TuneCP5_13TeV-powheg-pythia8 4.66 1998000 1976304.0 
WZZ WZZ_TuneCP5_13TeV-amcatnlo-pythia8 0.05565 9992000 9072486.0 
WZ_pythia WZ_TuneCP5_13TeV-pythia8 51.11 7986000 7986000.0 
WpWpJJ_EWK WpWpJJ_EWK 0.02695 200000 200000.0 
WpWpJJ_QCD WpWpJJ_QCD 0.02612 188000 188000.0 
ZGToLLG_01J ZGToLLG_01J_5f_TuneCP5_13TeV-amcatnloFXFX-pythia8 51.45 29904768 18741412.0 
ZZTo2L2Nu_powheg ZZTo2L2Nu_TuneCP5_13TeV_powheg_pythia8 0.5644 56044000 55925980.0 
ZZTo4L_m_1toInf_powheg ZZTo4L_M-1toInf_TuneCP5_13TeV_powheg_pythia8 13.81 62747100 61286708.0 
